C_ID,Category ID,Hours From Channel Published,Total Views In Video,Hours Since Video Published,Views,Likes
1,10,280294,3662383127,279,581459,14062
1,10,280294,3662383127,39,170732,8382
1,10,280294,3662383127,395,23102,1751
1,10,280294,3662383127,519,4619927,175218
1,10,280294,3662383127,589,48714,3767
1,10,280294,3662383127,759,1445283,37613
1,10,280294,3662383127,999,1591838,8476
1,10,280294,3662383127,1069,20902,1342
1,10,280294,3662383127,244,11701,1150
1,10,280294,3662383127,2919,8538947,214547
1,10,280294,3662383127,2990,29529,1751
1,10,280294,3662383127,3159,1546420,19169
1,10,280294,3662383127,3229,30248,3248
1,10,280294,3662383127,1149,155950,5005
1,10,280294,3662383127,1239,740749,5694
1,10,280294,3662383127,1479,1627946,15741
1,10,280294,3662383127,1719,1971545,30039
1,10,280294,3662383127,1789,40288,3000
1,10,280294,3662383127,1959,9590290,251557
1,10,280294,3662383127,2029,27091,1560
1,10,280294,3662383127,2199,3835441,66190
1,10,280294,3662383127,2270,23679,2152
1,10,280294,3662383127,2509,30820,1986
1,10,280294,3662383127,2679,1028375,10995
1,10,280294,3662383127,3399,1105441,9653
2,10,289707,46788334,2868,12211,126
2,10,289707,46788334,3101,15643,308
2,10,289707,46788334,3586,11603,136
2,10,289707,46788334,4067,34868,326
2,10,289707,46788334,4296,16617,240
2,10,289707,46788334,471,12137,476
2,10,289707,46788334,711,8712,106
2,10,289707,46788334,944,5377,64
2,10,289707,46788334,1225,24522,985
2,10,289707,46788334,2389,14691,220
2,10,289707,46788334,2629,21981,194
2,10,289707,46788334,4550,44468,487
2,10,289707,46788334,4789,32720,1172
2,10,289707,46788334,5027,21990,408
2,10,289707,46788334,5292,93946,1535
2,10,289707,46788334,5509,32851,513
2,10,289707,46788334,5730,33296,654
2,10,289707,46788334,5991,28274,361
2,10,289707,46788334,6220,20452,340
2,10,289707,46788334,6946,21157,147
2,10,289707,46788334,7181,15361,197
2,10,289707,46788334,7424,28182,411
2,10,289707,46788334,7667,113330,2081
2,10,289707,46788334,7905,23676,308
2,10,289707,46788334,8624,84272,1418
3,10,292961,2058431,14274,35,2
3,10,292961,2058431,14524,30,0
3,10,292961,2058431,14588,10,1
3,10,292961,2058431,15035,5,0
3,10,292961,2058431,15057,1,0
3,10,292961,2058431,15248,3,0
3,10,292961,2058431,15508,3,1
3,10,292961,2058431,15833,33,1
3,10,292961,2058431,16073,11,1
3,10,292961,2058431,16380,100,2
3,10,292961,2058431,16493,6,0
3,10,292961,2058431,16876,11,0
3,10,292961,2058431,17033,30,0
3,10,292961,2058431,17235,68,0
3,10,292961,2058431,17484,6,0
3,10,292961,2058431,17650,6,1
3,10,292961,2058431,18057,2,0
3,10,292961,2058431,18116,5,0
3,10,292961,2058431,18383,4,0
3,10,292961,2058431,18796,9,0
3,10,292961,2058431,18840,13,0
3,10,292961,2058431,19316,48,2
3,10,292961,2058431,19870,5,0
3,10,292961,2058431,20153,11,0
3,10,292961,2058431,20313,1,0
4,10,355635,1809581564,51852,85025019,130171
5,10,357050,1324908585,3285,534457,23212
5,10,357050,1324908585,407,178102,10772
5,10,357050,1324908585,4236,517108,33150
5,10,357050,1324908585,629,128984,7928
5,10,357050,1324908585,872,341054,20019
5,10,357050,1324908585,1133,200947,16669
5,10,357050,1324908585,1375,435043,29005
5,10,357050,1324908585,2360,171390,10106
5,10,357050,1324908585,2480,40961,2812
5,10,357050,1324908585,4943,595040,33427
5,10,357050,1324908585,6378,3721861,268596
5,10,357050,1324908585,7859,3052285,180989
5,10,357050,1324908585,8078,876844,44403
5,10,357050,1324908585,8320,16554726,913143
5,10,357050,1324908585,9047,2348216,149355
5,10,357050,1324908585,9757,6911285,357231
5,10,357050,1324908585,10438,706263,33086
5,10,357050,1324908585,11695,2791798,153284
5,10,357050,1324908585,12410,2807048,165438
5,10,357050,1324908585,12440,491779,21718
5,10,357050,1324908585,12659,1686630,79872
5,10,357050,1324908585,13119,25229284,951624
5,10,357050,1324908585,13351,1365141,81185
5,10,357050,1324908585,13544,2278144,95871
5,10,357050,1324908585,14061,1160792,43687
6,10,449418,4047470255,305,42422,214
6,10,449418,4047470255,13025,2417486,4917
6,10,449418,4047470255,13505,1091285,1485
7,10,450746,4081320471,2833,331653,1495
7,10,450746,4081320471,3313,256585,613
7,10,450746,4081320471,3793,380313,820
7,10,450746,4081320471,433,89026,371
7,10,450746,4081320471,4513,431398,2274
7,10,450746,4081320471,4993,497306,1250
7,10,450746,4081320471,5473,835083,1618
7,10,450746,4081320471,6433,3720344,7777
7,10,450746,4081320471,6913,976388,1966
7,10,450746,4081320471,7633,456032,1682
7,10,450746,4081320471,8113,1745078,2421
7,10,450746,4081320471,8593,1506911,3189
7,10,450746,4081320471,1153,289495,1549
7,10,450746,4081320471,193,27601,150
7,10,450746,4081320471,2113,487588,1386
7,10,450746,4081320471,9073,554834,2519
7,10,450746,4081320471,10513,711243,2650
7,10,450746,4081320471,10993,434305,839
7,10,450746,4081320471,11473,1614701,6758
7,10,450746,4081320471,11953,1268587,1817
7,10,450746,4081320471,12433,780830,3485
7,10,450746,4081320471,12913,1986878,6067
7,10,450746,4081320471,13393,1620648,3951
7,10,450746,4081320471,13873,402352,1506
8,10,475055,2480573407,92,70095,2329
8,10,475055,2480573407,165,288577,14361
8,10,475055,2480573407,401,332717,15766
8,10,475055,2480573407,645,380035,17573
8,10,475055,2480573407,887,299595,13524
8,10,475055,2480573407,1124,322321,13198
9,10,501786,2631478763,43978,1351853,105477
9,10,501786,2631478763,448,744474,72724
9,10,501786,2631478763,48778,70373,1881
9,10,501786,2631478763,52768,1941105,116283
9,10,501786,2631478763,55973,25539,1158
9,10,501786,2631478763,9893,5248245,209969
9,10,501786,2631478763,11093,11720631,309050
9,10,501786,2631478763,15648,33371018,456950
9,10,501786,2631478763,15793,454247,52117
9,10,501786,2631478763,21658,43772008,617585
9,10,501786,2631478763,21798,382751,52509
9,10,501786,2631478763,57890,446923,45702
9,10,501786,2631478763,64133,37805,1118
9,10,501786,2631478763,67008,33962,1504
9,10,501786,2631478763,71813,33726360,332887
9,10,501786,2631478763,72780,37069,1397
9,10,501786,2631478763,80455,259230,3550
9,10,501786,2631478763,80935,44945,3683
9,10,501786,2631478763,84055,47210,3260
9,10,501786,2631478763,86215,81307,4529
9,10,501786,2631478763,87173,9378838,293863
9,10,501786,2631478763,87655,107056,6240
9,10,501786,2631478763,88855,51191,1425
9,10,501786,2631478763,97735,306499,26342
9,10,501786,2631478763,98455,29414,927
10,10,505902,31647866,501814,83703,489
11,10,508630,4034112375,3367,185200,552
11,10,508630,4034112375,4092,181046,700
11,10,508630,4034112375,5052,94050,193
11,10,508630,4034112375,5772,494070,2006
11,10,508630,4034112375,6492,972231,599
11,10,508630,4034112375,732,44213,132
11,10,508630,4034112375,12,1277,6
11,10,508630,4034112375,1694,81688,311
11,10,508630,4034112375,2412,105637,291
11,10,508630,4034112375,7448,192138,732
11,10,508630,4034112375,7902,172328,314
11,10,508630,4034112375,9372,327796,1461
11,10,508630,4034112375,10812,163816,255
11,10,508630,4034112375,11759,395132,2160
11,10,508630,4034112375,13212,705685,3116
11,10,508630,4034112375,14172,264192,280
11,10,508630,4034112375,15852,959565,3494
11,10,508630,4034112375,16572,154925,270
11,10,508630,4034112375,17307,285374,291
11,10,508630,4034112375,18252,1075573,3957
11,10,508630,4034112375,19212,143438,200
11,10,508630,4034112375,19932,200113,447
11,10,508630,4034112375,20892,547942,2344
11,10,508630,4034112375,21612,700258,1874
12,10,509156,1770365007,30,13104,1234
12,10,509156,1770365007,535,59059,2856
12,10,509156,1770365007,3150,789154,39499
12,10,509156,1770365007,3650,117856,6834
12,10,509156,1770365007,3900,139415,7957
12,10,509156,1770365007,5359,191915,9044
12,10,509156,1770365007,6549,1055446,43207
12,10,509156,1770365007,7005,722183,30688
12,10,509156,1770365007,7244,767824,29606
12,10,509156,1770365007,8013,1110385,59977
12,10,509156,1770365007,8044,571283,30999
12,10,509156,1770365007,8251,12749987,578968
12,10,509156,1770365007,1333,4379938,135040
12,10,509156,1770365007,1447,146243,6648
12,10,509156,1770365007,1453,238036,14090
12,10,509156,1770365007,1747,119416,5952
12,10,509156,1770365007,2232,209990,8452
12,10,509156,1770365007,8926,544023,33460
12,10,509156,1770365007,9738,790671,32305
12,10,509156,1770365007,9886,32647740,697754
12,10,509156,1770365007,9932,1099219,42385
12,10,509156,1770365007,10093,1625901,72605
12,10,509156,1770365007,10384,1810028,91950
12,10,509156,1770365007,10419,851036,46112
12,10,509156,1770365007,10605,1439132,69819
13,10,529429,4850560988,34522,20961,1567
13,10,529429,4850560988,37881,5760,337
13,10,529429,4850560988,73701,163320234,924653
14,10,537547,6707684155,198562,362808961,4767238
15,10,560565,326175,37881,30,1
15,10,560565,326175,37882,19,1
15,10,560565,326175,40281,154,5
15,10,560565,326175,682,7,0
15,10,560565,326175,41927,239,8
15,10,560565,326175,55752,30,0
16,10,562697,7289602478,6453,4285992,463804
16,10,562697,7289602478,6932,30841103,2262924
16,10,562697,7289602478,7172,35593247,2637441
16,10,562697,7289602478,7414,5541167,530106
16,10,562697,7289602478,7652,3153893,334286
16,10,562697,7289602478,8130,2407676,292471
17,10,564872,7408774703,469,1582468,163030
17,10,564872,7408774703,708,6743495,592998
17,10,564872,7408774703,951,2251059,187267
17,10,564872,7408774703,1191,2306864,211187
17,10,564872,7408774703,1669,3723134,366853
17,10,564872,7408774703,1910,3234652,383478
17,10,564872,7408774703,2871,10668563,772467
17,10,564872,7408774703,3589,1358434,144178
17,10,564872,7408774703,4069,4514469,497091
17,10,564872,7408774703,4306,2569509,211705
17,10,564872,7408774703,4548,1436523,161480
17,10,564872,7408774703,5020,3012241,304918
17,10,564872,7408774703,5268,5143404,468948
17,10,564872,7408774703,5749,3951385,440779
17,10,564872,7408774703,5989,3934032,417956
17,10,564872,7408774703,2388,5014432,387892
17,10,564872,7408774703,2629,7089840,620834
17,10,564872,7408774703,6230,3132705,381295
17,10,564872,7408774703,6711,6716142,618759
17,10,564872,7408774703,6929,1604130,194147
17,10,564872,7408774703,7190,5974816,655863
17,10,564872,7408774703,7668,5568826,669767
17,10,564872,7408774703,7906,11841345,1026894
17,10,564872,7408774703,8148,5081311,532423
17,10,564872,7408774703,8387,16440606,1409410
18,10,569360,13526671912,580,52563,8195
18,10,569360,13526671912,1328,314072,22863
18,10,569360,13526671912,3493,846967,54529
18,10,569360,13526671912,4853,10810673,283026
18,10,569360,13526671912,4910,569997,42052
18,10,569360,13526671912,1493,23389356,620774
18,10,569360,13526671912,14963,5187988,114818
18,10,569360,13526671912,15233,21601476,322129
18,10,569360,13526671912,1553,253584,14949
18,10,569360,13526671912,17153,12468127,227150
18,10,569360,13526671912,18117,12993905,209565
18,10,569360,13526671912,20693,17438081,250657
18,10,569360,13526671912,21453,5674317,143882
18,10,569360,13526671912,21611,3858618,97874
18,10,569360,13526671912,21612,12418329,178777
18,10,569360,13526671912,21612,2543923,76069
18,10,569360,13526671912,21613,3361042,122408
18,10,569360,13526671912,21613,4461968,116675
18,10,569360,13526671912,21613,2118978,85730
18,10,569360,13526671912,21613,2413787,79811
18,10,569360,13526671912,21613,4036400,106502
18,10,569360,13526671912,21613,4125720,85114
18,10,569360,13526671912,21613,4220974,97221
18,10,569360,13526671912,21613,977431,61242
18,10,569360,13526671912,21613,9896465,226056
19,10,584263,29224832260,21165,3731207,526299
20,10,586590,29345915767,3093,1767499,193285
20,10,586590,29345915767,4773,1729511,190479
20,10,586590,29345915767,6453,1768139,209604
20,10,586590,29345915767,8103,956736,134634
20,10,586590,29345915767,8133,2184101,240305
20,10,586590,29345915767,9813,1697212,197392
20,10,586590,29345915767,1413,1555293,173755
20,10,586590,29345915767,10023,934024,142885
20,10,586590,29345915767,11493,2215536,250459
20,10,586590,29345915767,11943,774475,124839
20,10,586590,29345915767,13173,2578141,271283
20,10,586590,29345915767,13623,874533,153574
20,10,586590,29345915767,14853,2154183,258026
20,10,586590,29345915767,16533,2404626,278034
20,10,586590,29345915767,17223,1088396,163638
20,10,586590,29345915767,18183,859259,147212
20,10,586590,29345915767,18213,2760409,307909
20,10,586590,29345915767,18903,789781,136679
20,10,586590,29345915767,19863,735083,147349
20,10,586590,29345915767,19893,2673434,314988
20,10,586590,29345915767,20823,782163,141953
20,10,586590,29345915767,21573,4032320,456056
20,10,586590,29345915767,21783,605254,128768
20,10,586590,29345915767,22503,633768,135353
20,10,586590,29345915767,23253,6261020,689299
21,10,58774,820664178,1643,367610,19170
21,10,58774,820664178,1653,654233,77135
21,10,58774,820664178,2123,205409,15123
21,10,58774,820664178,3083,255461,16912
21,10,58774,820664178,3323,365393,20126
21,10,58774,820664178,3803,232799,17614
21,10,58774,820664178,4773,481450,44338
21,10,58774,820664178,5003,473226,25940
21,10,58774,820664178,5483,566602,33707
21,10,58774,820664178,5493,294509,42284
