Subscribers,Total Videos,C_ID
9930000,889,1
215000,136,2
2020,1323,3
3140000,101,4
3990000,350,5
12900000,475,6
13000000,477,7
10400000,5059,8
7900000,667,9
86300,10,10
6320000,529,11
5280000,163,12
159000,143,13
19100000,80,14
776,62,15
18800000,336,16
19000000,342,17
24000000,142,18
84500000,476,19
84600000,477,20
2950000,167,21
3200000,6832,22
162000,7218,23
3900000,977,24
10100000,600,25
1590000,6,26
1110,4023,27
36900000,3361,28
37000000,1815,29
10300000,1440,30
8150000,1290,31
5860000,808,32
10200000,183,33
12600000,146,34
44500000,725,35
8530000,42,36
12500000,153,37
14200000,1155,38
53000000,625,39
14100000,2408,40
53000000,627,41
38500000,4163,42
449000,47,43
11400000,9272,44
750000,648,45
23700000,22200,46
15700000,4627,47
18100000,6046,48
4560000,1430,49
127000,198,50
4620000,1458,51
16300000,1141,52
16300000,1145,53
17,11,54
2360000,3008,55
21500000,3650,56
568000,709,57
321000,8682,58
145000,4588,59
126000,703,60
34100000,615,61
34200000,616,62
18700000,2241,63
64800,331,64
25700000,120,65
30300000,127,66
377000,725,67
32800000,6871,68
27600000,241,69
27600000,242,70
13200000,273,71
73800000,2130,72
42100000,10705,73
639000,75,74
7460000,170,75
33500000,1974,76
7390000,418,77
7410000,419,78
21200000,8283,79
4580000,1795,80
63100,97,81
11800000,204,82
33900000,7316,83
10500000,168,84
55700000,1439,85
55800000,1442,86
55900000,1445,87
6170000,1112,88
58100000,25136,89
834000,102,90
58300000,25197,91
64100000,8152,92
5380000,1011,93
1770,157,94
1770000,522,95
275000,2521,96
1070000,873,97
56000000,3465,98
56100000,3475,99
26800000,539,100
819000,888,101
69500000,1115,102
27700000,21010,103
26500000,1635,104
57100000,4193,105
57200000,4211,106
55600000,140,107
13000000,7243,108
51100000,210,109
32700000,65,110
52600000,3543,111
238000000,18934,112
37300,544,113
40000000,4591,114
44,11,115
1690000,38,116
475000,242,117
710000,745,118
727000,1368,119
363000,600,120
852000,206,121
1310000,531,122
321000,1189,123
1030000,218,124
437000,535,125
5840000,452,126
291000,4781,127
2490000,671,128
1400000,220,129
1410000,221,130
106000,231,131
852000,106,132
718000,8336,133
433000,162,134
577000,348,135
4810000,4064,136
7690000,102,137
271000,505,138
9350000,37645,139
9620000,37845,140
512000,2300,141
13100000,7544,142
505000,32387,143
2020000,197,144
1800000,1025,145
150000,24,146
568000,761,147
1920000,677,148
103000,251,149
3210000,689,150
2010000,282,151
25500,175,152
843000,1788,153
6050,515,154
493000,232,155
33500,922,156
11800000,2372,157
1540000,1071,158
6580000,164,159
175000,169,160
4680000,1899,161
11500000,519,162
200000,1784,163
5840000,187,164
3480000,376,165
4360000,1752,166
3280000,182,167
3300000,184,168
340000,99,169
732000,250,170
1970000,1158,171
1770000,498,172
2090000,336,173
1440000,453,174
19100000,679,175
19500000,687,176
2840000,199,177
3300000,209,178
1500000,485,179
8360000,780,180
3290000,780,181
3830000,1537,182
2880000,874,183
8240000,432,184
3850000,417,185
671000,362,186
354000,138,187
3960000,1812,188
3110000,26050,189
733000,757,190
2820000,18060,191
3850000,6348,192
2540000,17016,193
7780000,31373,194
7910000,31754,195
7520000,3213,196
546000,736,197
523,23,198
525,24,199
3660000,16288,200
1650000,301,201
98800,707,202
2860000,588,203
2770000,1824,204
186000,73,205
2490000,7175,206
2630000,969,207
2260000,5632,208
8550000,2512,209
847000,268,210
1150000,8635,211
4280000,8691,212
1470000,3,213
24100000,45842,214
2160000,93,215
11000000,29331,216
1020000,1536,217
2640000,1281,218
1950000,1093,219
1280000,5575,220
655000,5892,221
4980000,14790,222
33800,203,223
2660000,1255,224
8690000,24905,225
11800000,1182,226
114000,4,227
1790000,10617,228
5020000,25008,229
7080000,55992,230
3860000,3039,231
6170000,8900,232
10100000,607,233
4710000,822,234
4860000,846,235
234000,2273,236
720000,446,237
15500000,617,238
9650000,3360,239
5730000,7073,240
9790000,3397,241
160000,2615,242
58900000,370,243
454000,219,244
77100,84,245
3160000,1586,246
3080000,184,247
960000,11361,248
1310000,9164,249
562000,20106,250
93600000,67019,251
93800000,67155,252
6150000,1685,253
6350000,1712,254
11100000,5852,255
19000000,10523,256
15000000,13593,257
14800000,10565,258
9660000,11858,259
20000000,45653,260
9060000,64202,261
3490000,893,262
2710000,2141,263
8680000,171,264
763000,499,265
8790000,174,266
8820000,174,267
6590000,514,268
6870000,526,269
493000,162,270
3070000,1115,271
523000,37,272
793000,610,273
2720000,561,274
1070000,337,275
182000,402,276
7380000,1034,277
1180000,465,278
1930000,353,279
631000,380,280
603000,564,281
65900,298,282
380000,192,283
908000,89,284
440000,1122,285
130000,334,286
2550000,551,287
881000,921,288
437000,1155,289
609000,10,290
2920000,134,291
217000,309,292
2420000,4149,293
169000,272,294
3810000,1168,295
134000,485,296
1690000,830,297
356000,512,298
3500000,1110,299
141000,1069,300
113000,653,301
115000,489,302
1090000,1102,303
964000,455,304
1840000,1380,305
3790000,1133,306
3110000,33653,307
1030000,670,308
799000,386,309
75700,1675,310
809000,499,311
1580000,282,312
457000,409,313
411000,80,314
11100000,1127,315
150000,441,316
9800000,602,317
479000,508,318
695000,517,319
20700000,42993,320
9700000,1295,321
1940000,2707,322
576000,94,323
91100,385,324
3410000,264,325
2510000,89,326
71200,149,327
1900000,84,328
183000,310,329
239000,191,330
235000,1028,331
4450000,1449,332
1220000,1107,333
397000,1733,334
5830000,272,335
2290000,409,336
3930000,1077,337
3400000,304,338
51800,28,339
15400000,322,340
1190000,1418,341
6510000,187,342
4120000,6592,343
36900000,210,344
26800000,3492,345
3210000,35,346
683000,1922,347
9280000,73,348
3140000,422,349
2390000,96,350
4420000,226,351
18300000,989,352
26500000,976,353
32200000,596,354
25000000,3192,355
1830,154,356
1270000,167,357
24100000,1910,358
2820,1,359
39300000,1069,360
39400000,1075,361
33900000,4266,362
23000000,1140,363
5440000,1207,364
5480000,1218,365
23200000,1654,366
2290000,427,367
9890000,1463,368
30300000,2680,369
1580000,251,370
1970000,82,371
5480000,2009,372
184000,162,373
4570000,501,374
31500000,234,375
642000,213,376
291000,1971,377
7710,32,378
11400000,3025,379
11400000,3027,380
2810000,15277,381
27000000,4901,382
82800000,5381,383
83000000,5415,384
40800000,2302,385
41700000,1328,386
41700000,1330,387
26400000,2707,388
11200000,44360,389
1920000,44,390
29400000,484,391
1200000,163,392
1510000,535,393
4950000,10828,394
2400000,221,395
114000,911,396
114000,915,397
11500000,10621,398
6000000,86208,399
44800000,3197,400
10300000,2313,401
7140000,1373,402
20600000,5298,403
20700000,5345,404
86400,10034,405
106000,1818,406
192000,302,407
6200000,319,408
5380000,2097,409
10500000,739,410
1570000,215,411
8480000,655,412
3510000,523,413
59600,39,414
2070000,794,415
264000,1260,416
738000,288,417
43700,12,418
31800000,907,419
3080000,190,420
90,26,421
1140000,260,422
2170000,608,423
165000,272,424
406000,559,425
23400000,7356,426
3160000,2737,427
15800000,1242,428
3630000,436,429
3190000,259,430
1440000,371,431
2410000,1691,432
2770000,253,433
2840000,29,434
202,31,435
235000,63,436
5020000,300,437
2380000,1360,438
31400000,113,439
1970000,343,440
1950000,0,441
1600,0,442
7960000,2651,443
1080000,598,444
4870000,1042,445
3430000,509,446
416,12,447
982000,345,448
2900000,1436,449
338000,572,450
3830000,465,451
2110000,549,452
999000,141,453
2500000,469,454
11600000,211,455
4550000,268,456
1760000,168,457
60600,101,458
539000,2198,459
3360000,180,460
230000,1503,461
6270000,1963,462
6630000,1074,463
5,2,464
0,21,465
1460000,259,466
22100000,753,467
22300000,756,468
2990000,1077,469
5770000,48,470
22,1,471
20900,231,472
28,1,473
1570000,444,474
3880000,120,475
2190000,175,476
120,5,477
966000,425,478
7340000,4409,479
5200000,408,480
5240000,411,481
517000,3115,482
5610000,1030,483
204,13,484
242,51,485
2,2,486
39900000,256,487
8940000,322,488
447,40,489
13800000,3468,490
2,3,491
